method,alpha,1/alpha,log(1/alpha),R
aespappr,0.000010,100000.000000,11.512925,2.831348
aespappr,0.000050,20000.000000,9.903488,2.517118
aespappr,0.000100,10000.000000,9.210340,2.429249
aespappr,0.000500,2000.000000,7.600902,1.993495
aespappr,0.001000,1000.000000,6.907755,1.591339
aespappr,0.002000,500.000000,6.214608,1.342943
aespappr,0.005000,200.000000,5.298317,1.173960
aespappr,0.007000,142.857143,4.961845,1.001127
aespappr,0.020000,50.000000,3.912023,1.000000
aespappr,0.040000,25.000000,3.218876,1.000000
aespappr,0.050000,20.000000,2.995732,1.000000
aespappr,0.060000,16.666667,2.813411,1.000000
aespappr,0.080000,12.500000,2.525729,1.000000
aespappr,0.100000,10.000000,2.302585,1.000000
aespappr,0.200000,5.000000,1.609438,1.000000
aespappr,0.300000,3.333333,1.203973,1.000000
aespappr,0.400000,2.500000,0.916291,1.000000
aespappr,0.450000,2.222222,0.798508,1.000000
aespappr,0.490000,2.040816,0.713350,1.000000
aesplocgd,0.000010,100000.000000,11.512925,2.934443
aesplocgd,0.000050,20000.000000,9.903488,2.571980
aesplocgd,0.000100,10000.000000,9.210340,2.451404
aesplocgd,0.000500,2000.000000,7.600902,1.882817
aesplocgd,0.001000,1000.000000,6.907755,1.602155
aesplocgd,0.002000,500.000000,6.214608,1.376127
aesplocgd,0.005000,200.000000,5.298317,1.156642
aesplocgd,0.007000,142.857143,4.961845,1.000209
aesplocgd,0.020000,50.000000,3.912023,1.000000
aesplocgd,0.040000,25.000000,3.218876,1.000000
aesplocgd,0.050000,20.000000,2.995732,1.000000
aesplocgd,0.060000,16.666667,2.813411,1.000000
aesplocgd,0.080000,12.500000,2.525729,1.000000
aesplocgd,0.100000,10.000000,2.302585,1.000000
aesplocgd,0.200000,5.000000,1.609438,1.000000
aesplocgd,0.300000,3.333333,1.203973,1.000000
aesplocgd,0.400000,2.500000,0.916291,1.000000
aesplocgd,0.450000,2.222222,0.798508,1.000000
aesplocgd,0.490000,2.040816,0.713350,1.000000
