method,eps,cumsum_opers,log_errs
aespappr,1e-6,1,-1.4912931698463163
aespappr,1e-6,2,-1.4912931698463163
aespappr,1e-6,5,-1.7507649289185856
aespappr,1e-6,7,-2.157378786034406
aespappr,1e-6,8,-2.2689623953499307
aespappr,1e-6,11,-2.2689623953499307
aespappr,1e-6,14,-2.2689623953499307
aespappr,1e-6,15,-2.2689623953499307
aespappr,1e-6,18,-2.2689623953499307
aespappr,1e-6,21,-2.2689623953499307
aespappr,1e-6,24,-2.2689623953499307
aespappr,1e-6,27,-2.2689623953499307
aespappr,1e-6,116,-2.7062310199341058
aespappr,1e-6,119,-3.026761391226805
aespappr,1e-6,121,-3.2361612876573687
aespappr,1e-6,130,-3.359990158033834
aespappr,1e-6,225,-3.746632995114336
aespappr,1e-6,311,-4.015840539195172
aespappr,1e-6,377,-4.183624346732304
aespappr,1e-6,637,-4.5214866749502285
aespappr,1e-6,865,-4.745848143568863
aespappr,1e-6,1211,-4.880250386178106
aespappr,1e-6,1708,-5.196944236166525
aespappr,1e-6,2037,-5.403096886043946
aespappr,1e-6,2924,-5.739469186996921
aespappr,1e-6,3795,-6.14338865566872
aespappr,1e-6,5013,-6.146178585904681
aespappr,1e-6,6767,-6.146178585904681
aespappr,1e-6,9383,-6.171478370193973
aespappr,1e-6,12844,-6.171478370193973
aespappr,1e-6,17631,-6.171478370193973
aespappr,1e-6,25152,-6.2407011649365876
aespappr,1e-6,36686,-6.528233178201944
aespappr,1e-6,48356,-6.637998267637314
aespappr,1e-6,65507,-6.637998267637314
aespappr,1e-6,89334,-6.637998267637314
aespappr,1e-6,122501,-6.637998267637314
aespappr,1e-6,162751,-6.637998267637314
aespappr,1e-6,210733,-6.637998267637314
aespappr,1e-6,285826,-6.9337497390387774
aespappr,1e-6,365469,-6.994307901448971
aespappr,1e-6,463839,-6.994307901448971
aespappr,1e-6,590317,-6.994307901448971
aesplocgd,1e-6,1,-1.4912931698463163
aesplocgd,1e-6,2,-1.4912931698463163
aesplocgd,1e-6,5,-1.7507649289185856
aesplocgd,1e-6,7,-2.157378786034406
aesplocgd,1e-6,8,-2.2689623953499307
aesplocgd,1e-6,11,-2.2689623953499307
aesplocgd,1e-6,14,-2.2689623953499307
aesplocgd,1e-6,15,-2.2689623953499307
aesplocgd,1e-6,18,-2.2689623953499307
aesplocgd,1e-6,21,-2.2689623953499307
aesplocgd,1e-6,24,-2.2689623953499307
aesplocgd,1e-6,27,-2.2689623953499307
aesplocgd,1e-6,28,-2.2689623953499307
aesplocgd,1e-6,116,-2.7096934590084203
aesplocgd,1e-6,117,-3.033930781326967
aesplocgd,1e-6,120,-3.2464902169813596
aesplocgd,1e-6,127,-3.3725295304541096
aesplocgd,1e-6,223,-3.7530128472318407
aesplocgd,1e-6,308,-4.016322037504919
aesplocgd,1e-6,374,-4.179564160270513
aesplocgd,1e-6,637,-4.51516535491535
aesplocgd,1e-6,863,-4.7375473663863925
aesplocgd,1e-6,1220,-4.8705351568284305
aesplocgd,1e-6,1708,-5.173544638098297
aesplocgd,1e-6,2152,-5.5683602599248125
aesplocgd,1e-6,2977,-5.845505063643148
aesplocgd,1e-6,3668,-6.019476026934026
aesplocgd,1e-6,4961,-6.146178585904681
aesplocgd,1e-6,6887,-6.146178585904681
aesplocgd,1e-6,9555,-6.171478370193973
aesplocgd,1e-6,13242,-6.171478370193973
