name,n,m
com-lj,3997962,34681189
com-friendster,65608366,1806067135
as-skitter,1694616,11094209
ogbn-papers100M,111059433,1614061934
soc-pokec,1632803,22301964
soc-lj1,4843953,42845684
cit-patent,3764117,16511740
ogbn-products,2385902,61806303
ogb-mag240m,244160499,1727235912
ogbn-mag,1939743,21091072
wiki-en21,6216199,160823797
com-orkut,3072441,117185083
wiki-talk,2388953,4656682
ogbn-arxiv,169343,1157799
ogbl-ppa,576039,21231776
ogbn-proteins,132534,39561252
com-youtube,1134890,2987624
sx-stackoverflow,2584164,28183518
com-dblp,317080,1049866
