method,node,alpha,eps,runtime,Opertion
aespappr,31,0.01584893192461114,1e-08,20.097378568723798,86969393
locgd,31,0.1,1e-08,0.4666224094107747,3135863
locgd,28,0.01584893192461114,1e-08,43.467530980706215,259931456
aesplocgd,31,0.002511886431509582,1e-08,10.533667443320155,344682411
locgd,471,0.001,1e-08,354.095108021982,4424634606
aesplocgd,193,0.002511886431509582,1e-08,38.50607137847692,361709506
aesplocgd,198,0.025118864315095808,1e-08,11.279673759825528,70716196
locgd,489,0.002511886431509582,1e-08,291.4823279110715,1731504625
aesplocgd,969,0.025118864315095808,1e-08,24.319062208756804,86166134
appr,962,0.01,1e-08,114.12791601195931,633628352
aesplocgd,962,0.003981071705534978,1e-08,48.359299171715975,296659989
aesplocgd,788,0.06309573444801933,1e-08,6.70215193554759,35931132
aespappr,421,0.025118864315095808,1e-08,20.725844436325133,67900885
appr,177,0.001,1e-08,1761.435063588433,6512420540
aesplocgd,44,0.006309573444801936,1e-08,27.747150521725416,213394112
appr,962,0.06309573444801933,1e-08,10.223870710469782,73381077
aespappr,68,0.003981071705534978,1e-08,69.85686210542917,266584440
aespappr,922,0.039810717055349734,1e-08,8.953798238188028,50718488
locgd,410,0.006309573444801936,1e-08,87.21883508656174,671427622
aesplocgd,28,0.039810717055349734,1e-08,14.658037202432752,59819329
appr,797,0.001584893192461114,1e-08,803.2676524659619,4095098228
aesplocgd,800,0.1,1e-08,3.953421352431178,25984246
locgd,725,0.01584893192461114,1e-08,56.34365891292691,253607063
aespappr,804,0.002511886431509582,1e-08,70.5898355813697,334342541
locgd,233,0.01,1e-08,70.82038379926234,423176638
appr,797,0.01,1e-08,123.08562986925244,623342328
appr,421,0.001,1e-08,1478.7420886131003,6506348396
aespappr,198,0.003981071705534978,1e-08,57.07081773597747,254664851
locgd,31,0.001584893192461114,1e-08,191.83004003111273,2767489264
locgd,27,0.001584893192461114,1e-08,284.280946877785,2783818295
locgd,233,0.002511886431509582,1e-08,335.0399207593873,1742251757
aesplocgd,384,0.001584893192461114,1e-08,54.03652279730886,450293497
appr,969,0.01,1e-08,154.4127041278407,631205081
locgd,50,0.1,1e-08,3.3405345864593983,14010207
aespappr,609,0.01,1e-08,26.621444360353053,148840196
locgd,797,0.002511886431509582,1e-08,322.278446380049,1739869626
aesplocgd,532,0.003981071705534978,1e-08,17.772325756959617,297066931
locgd,380,0.025118864315095808,1e-08,33.869157280772924,159749179
appr,532,0.01584893192461114,1e-08,82.97978621441871,392000037
appr,661,0.025118864315095808,1e-08,56.37567652761936,242436576
aesplocgd,101,0.01584893192461114,1e-08,26.067132832482457,121027520
locgd,996,0.039810717055349734,1e-08,17.81015824805945,68619855
aesplocgd,609,0.001584893192461114,1e-08,40.562231990508735,462387429
aesplocgd,216,0.025118864315095808,1e-08,14.082860522903502,80124638
aesplocgd,857,0.039810717055349734,1e-08,10.818349182605743,60906022
aespappr,193,0.001,1e-08,173.80419998336583,568501568
appr,922,0.01584893192461114,1e-08,67.50123454350978,389367381
appr,797,0.002511886431509582,1e-08,561.1374204372987,2573055996
aespappr,31,0.002511886431509582,1e-08,17.60853470955044,320899546
aesplocgd,969,0.003981071705534978,1e-08,50.53744752239436,299633537
aespappr,969,0.06309573444801933,1e-08,8.306188925169408,31692452
appr,654,0.06309573444801933,1e-08,17.92943593300879,77416430
aespappr,922,0.006309573444801936,1e-08,44.73510713502765,195947508
aesplocgd,797,0.025118864315095808,1e-08,14.458258830010891,81971010
appr,50,0.01,1e-08,154.74643016047776,626945272
appr,216,0.1,1e-08,3.1144125470891595,13445583
aesplocgd,532,0.1,1e-08,3.554485250264406,23447476
aesplocgd,943,0.039810717055349734,1e-08,10.772343195043504,51931699
appr,362,0.01584893192461114,1e-08,72.4615756906569,392901481
locgd,785,0.006309573444801936,1e-08,108.82063923589885,679562623
appr,44,0.1,1e-08,3.4324491349980235,10475020
